species,common_name,kingdom,phylum,class,order,family,genus,is_seed,candidate_source,candidate_confidence_score,inherited_from_rank,inherited_from_taxon,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model,calibration_applied,calibration_refs
Abramis brama,Common bream,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,family,Cyprinidae,0.922588,0.551484,-1.034804,0.635637,0.640499,0.534746,0.507598,0.730357,0.359253,-1.227035,0.443406,0.448268,0.342515,0.315367,1.114819,0.743715,-0.842573,0.827868,0.83273,0.726977,0.699829,0.098077,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Abudefduf saxatilis,Sergeant major,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,family,Pomacentridae,0.807283,0.644539,-0.803974,0.813761,0.700738,0.63053,0.616658,0.587749,0.425005,-1.023508,0.594227,0.481204,0.410996,0.397124,1.026817,0.864073,-0.58444,1.0,0.920272,0.850064,0.836192,0.112007,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Acanthurus leucosternon,Powder blue tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,family,Acanthuridae,0.962576,0.571064,-1.207778,0.541904,0.57073,0.472857,0.456873,0.727811,0.336299,-1.442543,0.307139,0.335965,0.238092,0.222108,1.197341,0.805829,-0.973013,0.776669,0.805495,0.707622,0.691638,0.119778,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Accipiter gentilis,Northern goshawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,family,Accipitridae,1.089004,0.433524,-1.278037,0.388976,0.533119,0.38701,0.586802,0.88174,0.22626,-1.485301,0.181712,0.325855,0.179746,0.379538,1.296268,0.640788,-1.070773,0.59624,0.740383,0.594274,0.794066,0.105747,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Acheta domesticus,House cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,false,assistant_curated_candidate_bank_v2,0.879,family,Gryllidae,1.149746,0.921922,-1.100318,0.478093,0.524025,0.449852,0.433701,0.897274,0.66945,-1.35279,0.225621,0.271553,0.19738,0.181229,1.402218,1.174394,-0.847846,0.730565,0.776497,0.702324,0.686173,0.128812,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Acinonyx jubatus,Cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,family,Felidae,1.12,0.469846,-1.307018,0.451933,0.586986,0.41476,0.601553,0.921797,0.271643,-1.505221,0.25373,0.388783,0.216557,0.40335,1.318203,0.668049,-1.108815,0.650136,0.785189,0.612963,0.799756,0.101124,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Actias luna,Luna moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,family,Saturniidae,1.071409,0.802996,-0.984078,0.397043,0.514429,0.421063,0.387088,0.779187,0.510774,-1.2763,0.104821,0.222207,0.128841,0.094866,1.363631,1.095218,-0.691856,0.689265,0.806651,0.713285,0.67931,0.149093,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Acyrthosiphon pisum,Pea aphid,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,family,Aphididae,0.965251,0.883564,-0.58949,0.706162,0.630335,0.572159,0.554865,0.692605,0.610918,-0.862136,0.433516,0.357689,0.299513,0.282219,1.237897,1.15621,-0.316844,0.978808,0.902981,0.844805,0.827511,0.139105,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,false,assistant_curated_candidate_bank_v2,0.956,family,Culicidae,1.229072,1.027505,-1.207291,0.355806,0.406531,0.355165,0.356052,1.008043,0.806476,-1.42832,0.134777,0.185502,0.134136,0.135023,1.450101,1.248534,-0.986262,0.576835,0.62756,0.576194,0.577081,0.11277,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Aglais io,European peacock,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,family,Nymphalidae,1.203199,0.710495,-1.101106,0.368752,0.489828,0.37317,0.339172,1.004598,0.511894,-1.299707,0.170151,0.291227,0.174569,0.140571,1.4018,0.909096,-0.902505,0.567353,0.688429,0.571771,0.537773,0.101327,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
