entity_kind,entity_id,species,common_name,class,family,is_seed,candidate_confidence_score,provenance_type,source_model,taxonomy_source,evidence_sources,source_citations,extraction_notes,ai_rationale_hash,prior_signature,calibration_applied,calibration_refs,generated_at
species,sp_182eace985,Abramis brama,Common bream,Actinopterygii,Cyprinidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Abramis_brama | https://en.wikipedia.org/w/index.php?search=Abramis%20brama|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,eab300c44691711ea3616b61c04810a18e93f222677e659573b629ce6894d9b7,5ac815db489bbcd9db67174588bc0c2a711c1c36e93460305c02e7c0db19a75e,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_93db63c49f,Abudefduf saxatilis,Sergeant major,Actinopterygii,Pomacentridae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Abudefduf_saxatilis | https://en.wikipedia.org/w/index.php?search=Abudefduf%20saxatilis|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,e056be595af9afc534ee6bb325ec3b684a3eb9e37e0cc087d7d24556360429eb,ed18d20d77bf47abc9f03444a2ee8f3195016d18580a4682f132f8f9400346eb,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_9bf9627936,Acanthurus leucosternon,Powder blue tang,Actinopterygii,Acanthuridae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Acanthurus_leucosternon | https://en.wikipedia.org/w/index.php?search=Acanthurus%20leucosternon|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,3766f7ca77c4d72089ef73f27836e6816235fad10eefe3c14c68b3a9e059699a,b26bbadb2951145330868aa59de5b9de0c79232737152ba381e3846fc9727178,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_4f6d00c2f7,Accipiter gentilis,Northern goshawk,Aves,Accipitridae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|https://en.wikipedia.org/wiki/Accipiter_gentilis | https://en.wikipedia.org/w/index.php?search=Accipiter%20gentilis,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,1f1ef37f449f4cc0aa5f8993ff8217a132802ce6c390b952427c11b6cf4a1df2,055c2ef6b98a48b464e972f38d2e4ad24c429ba0ad177925d725d3eb088a5698,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
species,sp_649294a101,Acheta domesticus,House cricket,Insecta,Gryllidae,false,0.879,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v2|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Acheta_domesticus | https://animaldiversity.org/search/?q=Acheta+domesticus|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,df9229708bdac135f7b9f7a70d5001202a5faf49c14a856d8732b01bb490153d,f91c622913b6cfaf3351a44d2cc330970744ce897b636f67966ee0ecb4f26ed8,true,insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_3001164a33,Acinonyx jubatus,Cheetah,Mammalia,Felidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Acinonyx_jubatus | https://en.wikipedia.org/w/index.php?search=Acinonyx%20jubatus|mammal_cooperation_meta_2021|mammal_fairness_review_2019,Mammal clade profile: social exchange and fairness paradigms prioritized.,d3bb7caa01782d450c0ff3cfac32c6f2a518366be9e541ae2e9947c7b64ef89c,b17387e6c34e2df0645992d6f12c81429296b31a0d80908e027a7f777c29a4a8,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019,2026-03-19T19:37:14Z
species,sp_a858e55bd6,Actias luna,Luna moth,Insecta,Saturniidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Actias_luna | https://en.wikipedia.org/w/index.php?search=Actias%20luna|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,5366e50874785ca1743c0cf0494a8d3ae8d50d01219229fdb8d4efbf295c962e,d90241a589a647ad918c66bc6788303e383242a630db8afbb95bce556694f2dc,true,insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_0bf2918f05,Acyrthosiphon pisum,Pea aphid,Insecta,Aphididae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Acyrthosiphon_pisum | https://en.wikipedia.org/w/index.php?search=Acyrthosiphon%20pisum|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,b2543a1cc7e348d75d1d26e42ca2602b84354aeff05bfa19d028c24d0e9e188c,043b0c548d13e0dc521ab43b7b902d4c1e326cc730e594840f9063c6f8e35bec,true,insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_f353e8ff2c,Aedes aegypti,Yellow fever mosquito,Insecta,Culicidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v2|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Aedes_aegypti | https://animaldiversity.org/search/?q=Aedes+aegypti|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,5fada000beb39289c536564603d851d0ce0830750d282d95adc11975e390f397,98570be880f99d0ae84f7c2f05e00d55f05faf415bde9f03a9968d5c24c99d4c,true,insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_5789372a3a,Aglais io,European peacock,Insecta,Nymphalidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Aglais_io | https://en.wikipedia.org/w/index.php?search=Aglais%20io|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,ded6b29b5029aef2765e333f5b09ec23feaa4fef59460ca3db3578deca0e460b,297999a6c1360f44bb572841ef1d336f5c288035d8dd0048756743e40cea6aed,true,insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
