dataset_version,generated_at,species,common_name,kingdom,phylum,class,order,family,genus,is_seed,candidate_source,candidate_confidence_score,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,row_confidence_score,provenance_type,source_model,bayes_method,bayes_engine,bayes_hyper_sds,calibration_applied,calibration_refs
0.6.0,2026-03-19T19:37:13Z,Abramis brama,Common bream,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,0.921078,0.551675,-1.03347,0.637298,0.640951,0.535267,0.508444,0.820516,0.462260,-1.101455,0.569355,0.573172,0.467465,0.440607,1.021640,0.641090,-0.965485,0.705242,0.70873,0.603069,0.57628,0.059322,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,Abudefduf saxatilis,Sergeant major,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,0.804053,0.645320,-0.802646,0.823414,0.703271,0.633301,0.619873,0.724236,0.580127,-0.831875,0.794192,0.674075,0.604101,0.590667,0.883870,0.710513,-0.773417,0.852636,0.732467,0.662501,0.649078,0.050427,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,Acanthurus leucosternon,Powder blue tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,0.966142,0.571117,-1.212615,0.537234,0.568794,0.470773,0.454903,0.879524,0.497744,-1.257334,0.492551,0.52425,0.42621,0.410311,1.052760,0.644490,-1.167896,0.581917,0.613338,0.515336,0.499495,0.053280,0.918,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,Accipiter gentilis,Northern goshawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,1.101199,0.432853,-1.303233,0.386652,0.536661,0.38637,0.58889,1.026667,0.413837,-1.322257,0.323531,0.517646,0.367355,0.569872,1.175730,0.451869,-1.28421,0.449772,0.555676,0.405386,0.607907,0.048817,0.92175,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,Acheta domesticus,House cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,false,assistant_curated_candidate_bank_v2,0.879,1.149537,0.920701,-1.104821,0.480249,0.522693,0.449991,0.434439,1.028124,0.818861,-1.210478,0.356813,0.421383,0.348227,0.33198,1.270950,1.022542,-0.999163,0.603686,0.624003,0.551756,0.536898,0.070860,0.804812,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,Acinonyx jubatus,Cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,1.11556,0.468436,-1.303806,0.452584,0.587231,0.415708,0.602011,1.017422,0.369999,-1.404631,0.330712,0.471864,0.317315,0.503179,1.213699,0.566874,-1.202981,0.574457,0.702599,0.514101,0.700844,0.068999,0.92425,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,Actias luna,Luna moth,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,1.071386,0.80284,-0.984789,0.395501,0.513747,0.420229,0.386153,0.841766,0.575832,-1.313779,0.094994,0.294996,0.194453,0.148394,1.301007,1.029848,-0.655798,0.696008,0.732497,0.646006,0.623912,0.137789,0.917375,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,Acyrthosiphon pisum,Pea aphid,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,0.965251,0.883564,-0.58949,0.706162,0.630335,0.572159,0.554865,0.869840,0.815331,-0.658711,0.611148,0.562245,0.503946,0.486468,1.060662,0.951797,-0.52027,0.801176,0.698425,0.640371,0.623263,0.059105,0.917375,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,false,assistant_curated_candidate_bank_v2,0.956,1.229916,1.01758,-1.214224,0.353355,0.405153,0.354208,0.35531,1.134128,0.948884,-1.283389,0.258292,0.336527,0.285522,0.286535,1.325704,1.086275,-1.145059,0.448419,0.473779,0.422893,0.424085,0.059208,0.917375,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,Aglais io,European peacock,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,false,assistant_curated_candidate_bank_v3_2026_03_19,0.956,1.200318,0.710871,-1.099344,0.369036,0.489982,0.373818,0.33979,1.095092,0.629489,-1.181448,0.264242,0.408706,0.292451,0.258286,1.305544,0.792253,-1.01724,0.473831,0.571258,0.455185,0.421295,0.063282,0.917375,ai_estimated,hierarchical_bayes_taxonomy_v2,empirical_bayes_nested_normal_v1,empirical_bayes,risk_preference:0.070/0.122/0.030;temporal_discount_rate:0.173/0.128/0.030;effort_price_elasticity:0.150/0.238/0.030;cooperation_propensity:0.070/0.190/0.030;inequity_sensitivity:0.052/0.121/0.030;punishment_propensity:0.050/0.127/0.030;tokenization_capacity:0.145/0.136/0.030,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
