entity_kind,entity_id,rank,taxon,n_species_evidence,provenance_type,source_model,evidence_sources,source_citations,extraction_notes,ai_rationale_hash,member_species_ids,calibration_applied,generated_at
taxon,tx_48357eee9f,phylum,Arthropoda,11,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,ant_colony_organization_2020|auto_clade_profile_v2|hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017|auto_clade_profile_v2|hawk_moth_behavior_2017|insect_collective_action_meta_2020|insect_foraging_risk_2017|auto_clade_profile_v2|hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017|seed_species_curation|auto_clade_profile_v2|insect_collective_action_meta_2020|insect_foraging_risk_2017|lepidoptera_migration_compendium_2021|auto_clade_profile_v2|insect_collective_action_meta_2020|insect_foraging_risk_2017|locust_phase_behavior_2019|auto_clade_profile_v2|insect_collective_action_meta_2020|insect_foraging_risk_2017|seed_species_curation|auto_clade_profile_v2|insect_collective_action_meta_2020|insect_foraging_risk_2017|urban_insect_behavior_survey_2018|auto_clade_profile_v2|seed_species_curation,Aggregated from 11 species posterior rows.,47209781f0d16cc5dfdbec373825132d347a38d3086f64f47baaa11216b612de,sp_023560aeb2|sp_1a1871e165|sp_232be198b3|sp_398765b739|sp_4127dcffdb|sp_4c38251cef|sp_6a3319a7c5|sp_8c2fdfa812|sp_e68f904bd8|sp_f0ad5ab748|sp_f27eee93fe,false,2026-03-18T17:59:00Z
taxon,tx_3f0d639424,phylum,Chordata,31,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_cognition_meta_2020|corvid_token_tasks_2019|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019|seed_species_curation|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|galliform_sociality_review_2017|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|psittacine_cognition_survey_2021|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|ratite_behavior_review_2016|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|seabird_foraging_behavior_2019|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|seed_species_curation|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|waterfowl_behavior_atlas_2019|auto_clade_profile_v2|cichlid_social_behavior_2022|fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|cyprinid_learning_review_2018|fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|delphinid_cognition_review_2022|mammal_cooperation_meta_2021|mammal_fairness_review_2019|auto_clade_profile_v2|elephant_sociality_synthesis_2019|mammal_cooperation_meta_2021|mammal_fairness_review_2019|auto_clade_profile_v2|fish_delay_discounting_review_2020|marine_fish_behavior_2019|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|fish_delay_discounting_review_2020|poeciliid_behavior_database_2021|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|fish_delay_discounting_review_2020|salmonid_risk_behavior_2020|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|fish_delay_discounting_review_2020|seed_species_curation|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022|seed_species_curation|auto_clade_profile_v2|mammal_behavior_review_2021|mammal_cooperation_meta_2021|mammal_fairness_review_2019|auto_clade_profile_v2|mammal_cooperation_meta_2021|mammal_fairness_review_2019|pinniped_social_behavior_2018|auto_clade_profile_v2|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022|seed_species_curation|auto_clade_profile_v2|mammal_cooperation_meta_2021|mammal_fairness_review_2019|seed_species_curation|auto_clade_profile_v2|mammal_cooperation_meta_2021|mammal_fairness_review_2019|ungulate_behavior_dataset_2021,Aggregated from 31 species posterior rows.,25c40259c9f5db364c9fe5457ef264abd1ddba33acbcfc91c697568126490550,sp_0a228838db|sp_0bc59ef437|sp_1262a4241d|sp_295cd224db|sp_2b24d67918|sp_306ee5e74e|sp_307a87a424|sp_364c32b6a5|sp_36da6312d6|sp_40e1c3d643|sp_4196f2cbfd|sp_58dad6fa0f|sp_6f9fa131ca|sp_73a56973a5|sp_7917d4e5ae|sp_87544d59e8|sp_8aea1e6640|sp_8e6261b548|sp_8fe9af580a|sp_9c5276526c|sp_b01b8c4b64|sp_b85903dc74|sp_b8ad2ba824|sp_c09bc3c800|sp_ccb9ed75bf|sp_d0ee487dff|sp_ddbe12c84d|sp_e45775c6b8|sp_ef8684369a|sp_f22e9181c4|sp_fec0433f5d,false,2026-03-18T17:59:00Z
taxon,tx_ddb46d1e5e,phylum,Mollusca,2,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,auto_clade_profile_v2|seed_species_curation,Aggregated from 2 species posterior rows.,3b2e4ec8a4970f3aabdb602ecd7a533997eab883c737f4533ae64266cef1e7d4,sp_2799b961a2|sp_2ae9d4c1bd,false,2026-03-18T17:59:00Z
taxon,tx_ca55a3d778,class,Actinopterygii,9,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,auto_clade_profile_v2|cichlid_social_behavior_2022|fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|cyprinid_learning_review_2018|fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|fish_delay_discounting_review_2020|marine_fish_behavior_2019|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|fish_delay_discounting_review_2020|poeciliid_behavior_database_2021|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|fish_delay_discounting_review_2020|salmonid_risk_behavior_2020|teleost_risk_behavior_meta_2022|auto_clade_profile_v2|fish_delay_discounting_review_2020|seed_species_curation|teleost_risk_behavior_meta_2022|fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,Aggregated from 9 species posterior rows.,be6a013c420ce8c8463215479660c274a35b4e2a0b49bf8b848453ec4243abbe,sp_295cd224db|sp_307a87a424|sp_58dad6fa0f|sp_7917d4e5ae|sp_b8ad2ba824|sp_c09bc3c800|sp_ccb9ed75bf|sp_ef8684369a|sp_fec0433f5d,true,2026-03-18T17:59:00Z
taxon,tx_cc5ba406f6,class,Aves,10,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_cognition_meta_2020|corvid_token_tasks_2019|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019|seed_species_curation|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|galliform_sociality_review_2017|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|psittacine_cognition_survey_2021|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|ratite_behavior_review_2016|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|seabird_foraging_behavior_2019|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|seed_species_curation|auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|waterfowl_behavior_atlas_2019|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,Aggregated from 10 species posterior rows.,4a2beaf4302d35d454a93515ac9364a0e09bf0070b898e52d35caf12f6da3852,sp_0a228838db|sp_36da6312d6|sp_40e1c3d643|sp_4196f2cbfd|sp_73a56973a5|sp_8aea1e6640|sp_8e6261b548|sp_9c5276526c|sp_b85903dc74|sp_e45775c6b8,true,2026-03-18T17:59:00Z
taxon,tx_5c03fcb1b5,class,Cephalopoda,2,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,auto_clade_profile_v2|seed_species_curation,Aggregated from 2 species posterior rows.,3b2e4ec8a4970f3aabdb602ecd7a533997eab883c737f4533ae64266cef1e7d4,sp_2799b961a2|sp_2ae9d4c1bd,false,2026-03-18T17:59:00Z
taxon,tx_cb0802f490,class,Insecta,10,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,ant_colony_organization_2020|auto_clade_profile_v2|hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017|auto_clade_profile_v2|hawk_moth_behavior_2017|insect_collective_action_meta_2020|insect_foraging_risk_2017|auto_clade_profile_v2|hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017|seed_species_curation|auto_clade_profile_v2|insect_collective_action_meta_2020|insect_foraging_risk_2017|lepidoptera_migration_compendium_2021|auto_clade_profile_v2|insect_collective_action_meta_2020|insect_foraging_risk_2017|locust_phase_behavior_2019|auto_clade_profile_v2|insect_collective_action_meta_2020|insect_foraging_risk_2017|seed_species_curation|auto_clade_profile_v2|insect_collective_action_meta_2020|insect_foraging_risk_2017|urban_insect_behavior_survey_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017,Aggregated from 10 species posterior rows.,d28d7f708abed67e3c250ce30ed9c49133bfb32ec5214f2e61043f6f4a5a7a76,sp_023560aeb2|sp_1a1871e165|sp_398765b739|sp_4127dcffdb|sp_4c38251cef|sp_6a3319a7c5|sp_8c2fdfa812|sp_e68f904bd8|sp_f0ad5ab748|sp_f27eee93fe,true,2026-03-18T17:59:00Z
taxon,tx_b27f2f88b7,class,Malacostraca,1,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,auto_clade_profile_v2|seed_species_curation,Aggregated from 1 species posterior rows.,07cc6d1c8ac26fda832835d95ae5e5cee8569b09b9f8c659b4743747645431bd,sp_232be198b3,false,2026-03-18T17:59:00Z
taxon,tx_a5187e898f,class,Mammalia,12,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,auto_clade_profile_v2|delphinid_cognition_review_2022|mammal_cooperation_meta_2021|mammal_fairness_review_2019|auto_clade_profile_v2|elephant_sociality_synthesis_2019|mammal_cooperation_meta_2021|mammal_fairness_review_2019|auto_clade_profile_v2|hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022|seed_species_curation|auto_clade_profile_v2|mammal_behavior_review_2021|mammal_cooperation_meta_2021|mammal_fairness_review_2019|auto_clade_profile_v2|mammal_cooperation_meta_2021|mammal_fairness_review_2019|pinniped_social_behavior_2018|auto_clade_profile_v2|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022|seed_species_curation|auto_clade_profile_v2|mammal_cooperation_meta_2021|mammal_fairness_review_2019|seed_species_curation|auto_clade_profile_v2|mammal_cooperation_meta_2021|mammal_fairness_review_2019|ungulate_behavior_dataset_2021|mammal_cooperation_meta_2021|mammal_fairness_review_2019,Aggregated from 12 species posterior rows.,bc4f0723c2a62c45123e4859885b87f3a4e9b7dfaeb68ff4ef5b94282bb55a71,sp_0bc59ef437|sp_1262a4241d|sp_2b24d67918|sp_306ee5e74e|sp_364c32b6a5|sp_6f9fa131ca|sp_87544d59e8|sp_8fe9af580a|sp_b01b8c4b64|sp_d0ee487dff|sp_ddbe12c84d|sp_f22e9181c4,true,2026-03-18T17:59:00Z
taxon,tx_8c8bce07a4,order,Anseriformes,1,imputed_taxonomy,taxon_aggregate_v1,species_evidence_aggregation,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|waterfowl_behavior_atlas_2019,Aggregated from 1 species posterior rows.,11c8074bc2b65cfa34303a107fa9c75e7f18345e7dd3249e5c2d665d21189d98,sp_9c5276526c,false,2026-03-18T17:59:00Z
