dataset_version,generated_at,entity_kind,entity_name,rank,taxon,n_species,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model,calibration_applied,calibration_refs
0.5.0,2026-03-19T16:39:52Z,taxon,Arthropoda,phylum,Arthropoda,25,1.082894,0.866597,-0.86874,0.544253,0.565802,0.475378,0.472381,0.998058,0.781761,-0.953576,0.459417,0.480966,0.390542,0.387545,1.16773,0.951433,-0.783904,0.629089,0.650638,0.560214,0.557217,0.043284,imputed_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:52Z,taxon,Chordata,phylum,Chordata,70,0.967537,0.505147,-1.002328,0.63396,0.650109,0.544049,0.670785,0.892958,0.430568,-1.076907,0.559381,0.57553,0.46947,0.596206,1.042116,0.579726,-0.927749,0.70854,0.724688,0.618628,0.745364,0.038051,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019|fish_delay_discounting_review_2020|hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Mollusca,phylum,Mollusca,2,1.14145,0.53068,-1.401585,0.418315,0.522812,0.408859,0.629489,1.063237,0.452467,-1.479798,0.340102,0.444599,0.330647,0.551276,1.219663,0.608893,-1.323373,0.496528,0.601025,0.487072,0.707702,0.039904,imputed_taxonomy,taxon_aggregate_v1,false,
0.5.0,2026-03-19T16:39:52Z,taxon,Actinopterygii,class,Actinopterygii,20,1.035821,0.620362,-1.177311,0.491064,0.541872,0.439628,0.418754,0.949555,0.534096,-1.263577,0.404798,0.455606,0.353362,0.332488,1.122087,0.706628,-1.091045,0.577329,0.628138,0.525894,0.50502,0.044013,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Aves,class,Aves,24,0.956816,0.460971,-0.941017,0.675769,0.682319,0.577544,0.787062,0.869914,0.37407,-1.027918,0.588867,0.595418,0.490643,0.70016,1.043717,0.547873,-0.854115,0.762671,0.769221,0.664446,0.873964,0.044338,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
0.5.0,2026-03-19T16:39:52Z,taxon,Cephalopoda,class,Cephalopoda,2,1.14145,0.53068,-1.401585,0.418315,0.522812,0.408859,0.629489,1.063237,0.452467,-1.479798,0.340102,0.444599,0.330647,0.551276,1.219663,0.608893,-1.323373,0.496528,0.601025,0.487072,0.707702,0.039904,imputed_taxonomy,taxon_aggregate_v1,false,
0.5.0,2026-03-19T16:39:52Z,taxon,Insecta,class,Insecta,24,1.079265,0.872364,-0.842668,0.551233,0.568401,0.479274,0.474508,0.993512,0.786611,-0.928421,0.46548,0.482648,0.393522,0.388755,1.165018,0.958117,-0.756915,0.636986,0.654153,0.565027,0.560261,0.043751,imputed_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:52Z,taxon,Malacostraca,class,Malacostraca,1,1.133525,0.786121,-1.232529,0.446868,0.529544,0.421009,0.442711,0.974046,0.626642,-1.392008,0.287389,0.370065,0.26153,0.283232,1.293004,0.9456,-1.07305,0.606347,0.689023,0.580488,0.60219,0.081367,imputed_taxonomy,taxon_aggregate_v1,false,
0.5.0,2026-03-19T16:39:52Z,taxon,Mammalia,class,Mammalia,26,0.913524,0.437199,-0.893993,0.729772,0.7222,0.611447,0.801956,0.828228,0.351904,-0.979288,0.644477,0.636905,0.526151,0.71666,0.998819,0.522495,-0.808697,0.815068,0.807496,0.696742,0.887251,0.043518,imputed_taxonomy,taxon_aggregate_v1,true,hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Accipitriformes,order,Accipitriformes,1,0.969105,0.413927,-0.994595,0.495796,0.599449,0.488193,0.682399,0.668817,0.113639,-1.294883,0.195508,0.299161,0.187905,0.382111,1.269393,0.714215,-0.694307,0.796084,0.899737,0.788481,0.982687,0.153208,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.5.0,2026-03-19T16:39:52Z,taxon,Anabantiformes,order,Anabantiformes,1,1.103306,0.687118,-1.25338,0.404427,0.493784,0.392311,0.374184,0.86947,0.453282,-1.487216,0.170591,0.259948,0.158475,0.140348,1.337142,0.920954,-1.019544,0.638263,0.72762,0.626147,0.60802,0.119304,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Anseriformes,order,Anseriformes,1,1.025041,0.457582,-1.066556,0.62066,0.639222,0.53818,0.75287,0.823678,0.256219,-1.267919,0.419297,0.437859,0.336817,0.551507,1.226404,0.658945,-0.865193,0.822023,0.840585,0.739543,0.954233,0.102736,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.5.0,2026-03-19T16:39:52Z,taxon,Artiodactyla,order,Artiodactyla,2,0.983273,0.435908,-0.997066,0.624777,0.696886,0.550907,0.735353,0.840652,0.293288,-1.139686,0.482157,0.554266,0.408287,0.592733,1.125893,0.578529,-0.854446,0.767398,0.839507,0.693528,0.877974,0.072766,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.5.0,2026-03-19T16:39:52Z,taxon,Blattodea,order,Blattodea,2,1.186839,0.94939,-1.084323,0.413348,0.45791,0.405781,0.396546,1.039462,0.802013,-1.2317,0.265972,0.310533,0.258405,0.249169,1.334216,1.096766,-0.936946,0.560725,0.605287,0.553158,0.543923,0.075192,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:52Z,taxon,Carnivora,order,Carnivora,7,0.989755,0.438863,-1.039319,0.606617,0.657368,0.536539,0.72234,0.878553,0.327661,-1.150521,0.495415,0.546166,0.425337,0.611138,1.100957,0.550065,-0.928116,0.71782,0.76857,0.647742,0.833542,0.056736,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.5.0,2026-03-19T16:39:52Z,taxon,Cetacea,order,Cetacea,3,0.829966,0.318403,-0.881716,0.837763,0.761655,0.678061,0.88457,0.688508,0.176945,-1.023174,0.696305,0.620197,0.536603,0.743112,0.971424,0.459861,-0.740258,0.979221,0.903113,0.819519,1.0,0.072172,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.5.0,2026-03-19T16:39:52Z,taxon,Charadriiformes,order,Charadriiformes,1,1.066432,0.458602,-1.170858,0.558371,0.610303,0.51203,0.731932,0.84534,0.23751,-1.39195,0.337279,0.389211,0.290938,0.51084,1.287524,0.679694,-0.949766,0.779463,0.831395,0.733122,0.953024,0.112802,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.5.0,2026-03-19T16:39:52Z,taxon,Chiroptera,order,Chiroptera,1,0.880096,0.648809,-0.746906,0.757064,0.749031,0.627299,0.817645,0.672001,0.440714,-0.955001,0.548969,0.540936,0.419204,0.60955,1.088191,0.856904,-0.538811,0.965159,0.957126,0.835394,1.0,0.106171,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.5.0,2026-03-19T16:39:52Z,taxon,Cichliformes,order,Cichliformes,3,0.916871,0.638831,-0.89382,0.643323,0.616197,0.53119,0.511616,0.791001,0.512961,-1.019689,0.517454,0.490327,0.40532,0.385746,1.042741,0.764701,-0.76795,0.769193,0.742066,0.65706,0.637486,0.064219,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Clupeiformes,order,Clupeiformes,1,0.78018,0.575853,-0.777357,0.817744,0.702346,0.623617,0.600233,0.557387,0.35306,-1.00015,0.594951,0.479553,0.400824,0.37744,1.002973,0.798646,-0.554564,1.0,0.925139,0.84641,0.823026,0.11367,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Coleoptera,order,Coleoptera,3,1.190299,0.993791,-1.155177,0.361146,0.449536,0.382468,0.373316,1.04492,0.848412,-1.300556,0.215767,0.304157,0.237089,0.227937,1.335678,1.13917,-1.009798,0.506525,0.594915,0.527847,0.518695,0.074173,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:52Z,taxon,Columbiformes,order,Columbiformes,1,1.03681,0.484657,-1.165619,0.610522,0.601319,0.535714,0.77008,0.837782,0.285629,-1.364647,0.411494,0.402291,0.336686,0.571052,1.235838,0.683685,-0.966591,0.80955,0.800347,0.734742,0.969108,0.101545,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.5.0,2026-03-19T16:39:52Z,taxon,Cypriniformes,order,Cypriniformes,3,1.054321,0.604903,-1.159979,0.456392,0.502096,0.407049,0.390555,0.928036,0.478617,-1.286264,0.330106,0.37581,0.280763,0.26427,1.180607,0.731189,-1.033693,0.582678,0.628382,0.533335,0.516841,0.064431,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Cyprinodontiformes,order,Cyprinodontiformes,2,1.075127,0.750729,-1.025387,0.536341,0.551951,0.464955,0.450964,0.931021,0.606623,-1.169493,0.392236,0.407846,0.32085,0.306859,1.219232,0.894834,-0.881282,0.680446,0.696056,0.609061,0.595069,0.073523,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Decapoda,order,Decapoda,1,1.133525,0.786121,-1.232529,0.446868,0.529544,0.421009,0.442711,0.974046,0.626642,-1.392008,0.287389,0.370065,0.26153,0.283232,1.293004,0.9456,-1.07305,0.606347,0.689023,0.580488,0.60219,0.081367,imputed_taxonomy,taxon_aggregate_v1,false,
0.5.0,2026-03-19T16:39:52Z,taxon,Diptera,order,Diptera,3,1.274195,0.97216,-1.196513,0.304173,0.406528,0.337076,0.33029,1.148208,0.846174,-1.3225,0.178186,0.280541,0.211089,0.204303,1.400182,1.098147,-1.070526,0.43016,0.532515,0.463063,0.456277,0.064279,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:52Z,taxon,Esociformes,order,Esociformes,1,1.006803,0.60065,-1.191378,0.43061,0.519441,0.417426,0.396414,0.657141,0.250988,-1.54104,0.080948,0.169779,0.067764,0.046752,1.356465,0.950312,-0.841716,0.780272,0.869103,0.767088,0.746076,0.178399,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Falconiformes,order,Falconiformes,1,0.976609,0.457767,-0.9905,0.586699,0.645575,0.538956,0.746676,0.610599,0.091757,-1.35651,0.220689,0.279565,0.172946,0.380666,1.342619,0.823777,-0.62449,0.952709,1.0,0.904966,1.0,0.18674,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.5.0,2026-03-19T16:39:52Z,taxon,Gadiformes,order,Gadiformes,1,1.078823,0.491422,-1.449937,0.399413,0.513408,0.398308,0.372496,0.860791,0.27339,-1.667969,0.181381,0.295376,0.180276,0.154464,1.296855,0.709454,-1.231905,0.617445,0.73144,0.61634,0.590528,0.111241,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Galliformes,order,Galliformes,2,1.001154,0.435611,-1.012573,0.629698,0.66342,0.549535,0.75709,0.841393,0.27585,-1.172334,0.469937,0.503659,0.389774,0.597329,1.160916,0.595372,-0.852811,0.789459,0.823181,0.709296,0.916852,0.081511,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.5.0,2026-03-19T16:39:52Z,taxon,Gasterosteiformes,order,Gasterosteiformes,1,1.053993,0.710616,-1.055534,0.534597,0.558731,0.466956,0.448093,0.897475,0.554098,-1.212052,0.378079,0.402213,0.310438,0.291575,1.210511,0.867134,-0.899016,0.691115,0.715249,0.623474,0.604611,0.079856,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Gymnotiformes,order,Gymnotiformes,1,1.134043,0.708397,-1.55148,0.297209,0.466633,0.326993,0.294474,0.97653,0.550884,-1.708993,0.139696,0.30912,0.16948,0.136961,1.291556,0.86591,-1.393967,0.454722,0.624146,0.484506,0.451987,0.080364,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Hymenoptera,order,Hymenoptera,8,0.954683,0.837489,-0.495453,0.770234,0.702164,0.581271,0.59963,0.85056,0.733367,-0.599576,0.666111,0.598041,0.477148,0.495507,1.058806,0.941612,-0.39133,0.874357,0.806287,0.685394,0.703753,0.053124,imputed_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:52Z,taxon,Lepidoptera,order,Lepidoptera,4,1.081371,0.816589,-0.972304,0.365324,0.474484,0.383321,0.354768,0.944004,0.679222,-1.109671,0.227958,0.337117,0.245955,0.217401,1.218738,0.953955,-0.834938,0.502691,0.611851,0.520688,0.492134,0.070085,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:52Z,taxon,Octopoda,order,Octopoda,1,1.164719,0.613239,-1.462806,0.388233,0.513878,0.396705,0.605549,0.965126,0.413646,-1.662399,0.18864,0.314285,0.197112,0.405956,1.364312,0.812832,-1.263213,0.587826,0.713471,0.596298,0.805142,0.101833,imputed_taxonomy,taxon_aggregate_v1,false,
0.5.0,2026-03-19T16:39:52Z,taxon,Orthoptera,order,Orthoptera,4,1.032805,0.782241,-0.831058,0.637512,0.63319,0.559463,0.531047,0.910162,0.659598,-0.953701,0.514868,0.510547,0.43682,0.408404,1.155448,0.904884,-0.708415,0.760155,0.755833,0.682107,0.653691,0.062573,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.5.0,2026-03-19T16:39:52Z,taxon,Passeriformes,order,Passeriformes,8,0.993397,0.510609,-0.835057,0.69657,0.685248,0.58866,0.79795,0.882927,0.400139,-0.945526,0.586101,0.574778,0.47819,0.68748,1.103867,0.621079,-0.724587,0.80704,0.795718,0.69913,0.90842,0.056362,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
0.5.0,2026-03-19T16:39:52Z,taxon,Perciformes,order,Perciformes,1,0.914204,0.639632,-0.932078,0.680663,0.61756,0.535569,0.521714,0.673608,0.399036,-1.172674,0.440067,0.376964,0.294973,0.281118,1.1548,0.880228,-0.691482,0.921259,0.858156,0.776165,0.76231,0.122753,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.5.0,2026-03-19T16:39:52Z,taxon,Phoenicopteriformes,order,Phoenicopteriformes,1,0.79347,0.421003,-0.753246,0.848042,0.776075,0.684094,0.89481,0.626631,0.254164,-0.920085,0.681203,0.609236,0.517255,0.727971,0.960309,0.587842,-0.586407,1.0,0.942914,0.850933,1.0,0.085122,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
